보상 행 ID,보상 소유 영역,기존 수령 키,표시 순서,지급물 종류,지급물 ID,수량,메모
156,Pass,S1:4,1,Currency,Diamond,10,시즌 1 무료 트랙 레벨 4
158,Pass,S1:5,1,Currency,Shard,80,시즌 1 무료 트랙 레벨 5
159,Pass,S1:5,2,Pack,NormalPack_TEST,1,시즌 1 무료 트랙 레벨 5; 팩 지급 구현 대기
160,Pass,S1:6,2,Currency,RouletteTicket,2,시즌 1 무료 트랙 레벨 6
161,Pass,S1:8,1,Currency,Diamond,20,시즌 1 무료 트랙 레벨 8
163,Pass,S1:9,1,Currency,Shard,120,시즌 1 무료 트랙 레벨 9
164,Pass,S1:9,2,Pack,NormalPack_TEST,2,시즌 1 무료 트랙 레벨 9; 팩 지급 구현 대기
165,Pass,S1:10,2,PackChoice,UnlockedThemePack,1,시즌 1 무료 트랙 레벨 10; 팩 지급 구현 대기
166,Guide,guide.02,1,Currency,Shard,10,계정당 1회 가이드 지급 구현 대기
167,Guide,guide.03,1,Currency,Shard,10,계정당 1회 가이드 지급 구현 대기
168,Guide,guide.16,1,Currency,Shard,10,guide.04 보상을 신규 실전 미션으로 이전; 과거 guide.04 수령 여부와 무관하게 guide.16 계정당 1회 지급
169,Guide,guide.06,1,Currency,Gold,30,계정당 1회 가이드 지급 구현 대기
170,Guide,guide.07,1,Currency,Shard,10,계정당 1회 가이드 지급 구현 대기
171,Guide,guide.07,2,Card,9,1,계정당 1회 가이드 지급 구현 대기
172,Guide,guide.08,1,Currency,Shard,10,계정당 1회 가이드 지급 구현 대기
173,Guide,guide.09,1,Currency,Shard,25,계정당 1회 가이드 지급 구현 대기
174,Guide,guide.10,1,Currency,Gold,40,계정당 1회 가이드 지급 구현 대기
175,Guide,guide.11,1,Currency,Shard,5,계정당 1회 가이드 지급 구현 대기
176,Guide,guide.12,1,Currency,Shard,10,계정당 1회 가이드 지급 구현 대기
177,Guide,guide.13,1,Currency,Shard,20,계정당 1회 가이드 지급 구현 대기
178,Guide,guide.14,1,Pack,NormalPack_TEST,1,계정당 1회 가이드 지급 구현 대기
179,Guide,guide.15,1,Currency,Diamond,10,계정당 1회 가이드 지급 구현 대기
180,Guide,guide.15,2,Currency,RouletteTicket,1,계정당 1회 가이드 지급 구현 대기
181,CardDuplicate,Common,1,Currency,Shard,1,중복 추가 조각 구현 대기; 기존 간식1 유지; 0원 튜토리얼팩 제외
182,CardDuplicate,Rare,1,Currency,Shard,2,중복 추가 조각 구현 대기; 기존 간식1 유지; 0원 튜토리얼팩 제외
183,CardDuplicate,Arcane,1,Currency,Shard,5,중복 추가 조각 구현 대기; 기존 간식1 유지; 0원 튜토리얼팩 제외
184,CardDuplicate,Mythic,1,Currency,Shard,10,중복 추가 조각 구현 대기; 기존 간식1 유지; 0원 튜토리얼팩 제외
185,Mission,daily.completeMissions5,1,Currency,RouletteTicket,1,일일 미션 5개 완료 추가 보상
186,Mission,daily.completeMissions5,2,Currency,Diamond,10,일일 미션 5개 완료 추가 보상
187,Mission,weekly.completeMissions5,1,Currency,RouletteTicket,3,주간 미션 5개 완료 추가 보상
188,Mission,weekly.completeMissions5,2,Currency,Diamond,30,주간 미션 5개 완료 추가 보상
189,Pass,S1:repeat,1,Currency,Gold,100,만렙 이후 마지막 레벨 간격 EXP마다 반복 보상
190,Pass,S1:premium:1,1,Currency,Gold,400,시즌 1 프리미엄 트랙 레벨 1
191,Pass,S1:premium:2,1,Currency,Shard,120,시즌 1 프리미엄 트랙 레벨 2
192,Pass,S1:premium:3,1,Pack,NormalPack_TEST,2,시즌 1 프리미엄 트랙 레벨 3
193,Pass,S1:premium:3,2,Currency,RouletteTicket,4,시즌 1 프리미엄 트랙 레벨 3
194,Pass,S1:premium:4,1,Currency,Diamond,20,시즌 1 프리미엄 트랙 레벨 4
195,Pass,S1:premium:5,1,Currency,Shard,160,시즌 1 프리미엄 트랙 레벨 5
196,Pass,S1:premium:5,2,Pack,NormalPack_TEST,2,시즌 1 프리미엄 트랙 레벨 5
197,Pass,S1:premium:6,1,Currency,Gold,600,시즌 1 프리미엄 트랙 레벨 6
198,Pass,S1:premium:6,2,Currency,RouletteTicket,4,시즌 1 프리미엄 트랙 레벨 6
199,Pass,S1:premium:7,1,Currency,Shard,200,시즌 1 프리미엄 트랙 레벨 7
200,Pass,S1:premium:8,1,Currency,Diamond,40,시즌 1 프리미엄 트랙 레벨 8
201,Pass,S1:premium:9,1,Currency,Shard,240,시즌 1 프리미엄 트랙 레벨 9
202,Pass,S1:premium:9,2,Pack,NormalPack_TEST,4,시즌 1 프리미엄 트랙 레벨 9
203,Pass,S1:premium:10,1,Currency,Diamond,100,시즌 1 프리미엄 트랙 레벨 10
204,Pass,S1:premium:10,2,PackChoice,UnlockedThemePack,2,시즌 1 프리미엄 트랙 레벨 10
205,Guide,guide.01,1,Currency,Shard,10,카드 강화 완료 가이드; 계정당 1회
206,Guide,guide.05,1,Currency,Shard,10,카드 진화 완료 가이드; 계정당 1회
207,Album,p:Theme_Nature/P1,1,Currency,Energy,10,자연 테마 P1 페이지 완성
208,Album,p:Theme_Nature/P2,1,Currency,Energy,10,자연 테마 P2 페이지 완성
209,Album,p:Theme_Nature/P3,1,Currency,Energy,10,자연 테마 P3 페이지 완성
210,Album,p:Theme_Nature/P4,1,Currency,Energy,10,자연 테마 P4 페이지 완성
211,Album,p:Theme_Nature/P5,1,Currency,Energy,10,자연 테마 P5 페이지 완성
212,Attendance,day_1,1,Currency,Gold,110,7일 누적 출석 1일차
213,Attendance,day_2,1,Currency,Shard,30,7일 누적 출석 2일차
214,Attendance,day_3,1,Currency,Energy,10,7일 누적 출석 3일차
215,Attendance,day_4,1,Currency,Gold,220,7일 누적 출석 4일차
216,Attendance,day_5,1,Currency,Shard,60,7일 누적 출석 5일차
217,Attendance,day_6,1,Currency,Diamond,10,7일 누적 출석 6일차
218,Attendance,day_7,1,Pack,NormalPack_TEST,1,7일 누적 출석 7일차 일반 팩
219,AccountLevel,2,1,Currency,Gold,30,계정 레벨 2 달성; 자동 지급; 이전 레벨 소급 없음
220,AccountLevel,3,1,Currency,Gold,30,계정 레벨 3 달성; 자동 지급; 이전 레벨 소급 없음
221,AccountLevel,4,1,Currency,Gold,30,계정 레벨 4 달성; 자동 지급; 이전 레벨 소급 없음
222,AccountLevel,5,1,Currency,Gold,30,계정 레벨 5 달성; 자동 지급; 이전 레벨 소급 없음
223,AccountLevel,6,1,Currency,Gold,30,계정 레벨 6 달성; 자동 지급; 이전 레벨 소급 없음
224,AccountLevel,7,1,Currency,Gold,30,계정 레벨 7 달성; 자동 지급; 이전 레벨 소급 없음
225,AccountLevel,8,1,Currency,Gold,30,계정 레벨 8 달성; 자동 지급; 이전 레벨 소급 없음
226,AccountLevel,9,1,Currency,Gold,30,계정 레벨 9 달성; 자동 지급; 이전 레벨 소급 없음
227,AccountLevel,10,1,Currency,Gold,30,계정 레벨 10 달성; 자동 지급; 이전 레벨 소급 없음
228,AccountLevel,11,1,Currency,Gold,30,계정 레벨 11 달성; 자동 지급; 이전 레벨 소급 없음
229,AccountLevel,12,1,Currency,Gold,30,계정 레벨 12 달성; 자동 지급; 이전 레벨 소급 없음
230,AccountLevel,13,1,Currency,Gold,30,계정 레벨 13 달성; 자동 지급; 이전 레벨 소급 없음
231,AccountLevel,14,1,Currency,Gold,30,계정 레벨 14 달성; 자동 지급; 이전 레벨 소급 없음
232,AccountLevel,15,1,Currency,Gold,30,계정 레벨 15 달성; 자동 지급; 이전 레벨 소급 없음
233,AccountLevel,16,1,Currency,Gold,30,계정 레벨 16 달성; 자동 지급; 이전 레벨 소급 없음
234,AccountLevel,17,1,Currency,Gold,30,계정 레벨 17 달성; 자동 지급; 이전 레벨 소급 없음
235,AccountLevel,18,1,Currency,Gold,30,계정 레벨 18 달성; 자동 지급; 이전 레벨 소급 없음
236,AccountLevel,19,1,Currency,Gold,30,계정 레벨 19 달성; 자동 지급; 이전 레벨 소급 없음
237,AccountLevel,20,1,Currency,Gold,30,계정 레벨 20 달성; 자동 지급; 이전 레벨 소급 없음
238,AccountLevel,21,1,Currency,Gold,30,계정 레벨 21 달성; 자동 지급; 이전 레벨 소급 없음
239,AccountLevel,22,1,Currency,Gold,30,계정 레벨 22 달성; 자동 지급; 이전 레벨 소급 없음
240,AccountLevel,23,1,Currency,Gold,30,계정 레벨 23 달성; 자동 지급; 이전 레벨 소급 없음
241,AccountLevel,24,1,Currency,Gold,30,계정 레벨 24 달성; 자동 지급; 이전 레벨 소급 없음
242,AccountLevel,25,1,Currency,Gold,30,계정 레벨 25 달성; 자동 지급; 이전 레벨 소급 없음
243,AccountLevel,26,1,Currency,Gold,30,계정 레벨 26 달성; 자동 지급; 이전 레벨 소급 없음
244,AccountLevel,27,1,Currency,Gold,30,계정 레벨 27 달성; 자동 지급; 이전 레벨 소급 없음
245,AccountLevel,28,1,Currency,Gold,30,계정 레벨 28 달성; 자동 지급; 이전 레벨 소급 없음
246,AccountLevel,29,1,Currency,Gold,30,계정 레벨 29 달성; 자동 지급; 이전 레벨 소급 없음
247,AccountLevel,30,1,Currency,Gold,30,계정 레벨 30 달성; 자동 지급; 이전 레벨 소급 없음
248,AccountLevel,31,1,Currency,Gold,30,계정 레벨 31 달성; 자동 지급; 이전 레벨 소급 없음
249,AccountLevel,32,1,Currency,Gold,30,계정 레벨 32 달성; 자동 지급; 이전 레벨 소급 없음
250,AccountLevel,33,1,Currency,Gold,30,계정 레벨 33 달성; 자동 지급; 이전 레벨 소급 없음
251,AccountLevel,34,1,Currency,Gold,30,계정 레벨 34 달성; 자동 지급; 이전 레벨 소급 없음
252,AccountLevel,35,1,Currency,Gold,30,계정 레벨 35 달성; 자동 지급; 이전 레벨 소급 없음
253,AccountLevel,36,1,Currency,Gold,30,계정 레벨 36 달성; 자동 지급; 이전 레벨 소급 없음
254,AccountLevel,37,1,Currency,Gold,30,계정 레벨 37 달성; 자동 지급; 이전 레벨 소급 없음
255,AccountLevel,38,1,Currency,Gold,30,계정 레벨 38 달성; 자동 지급; 이전 레벨 소급 없음
256,AccountLevel,39,1,Currency,Gold,30,계정 레벨 39 달성; 자동 지급; 이전 레벨 소급 없음
257,AccountLevel,40,1,Currency,Gold,30,계정 레벨 40 달성; 자동 지급; 이전 레벨 소급 없음
258,AccountLevel,41,1,Currency,Gold,30,계정 레벨 41 달성; 자동 지급; 이전 레벨 소급 없음
259,AccountLevel,42,1,Currency,Gold,30,계정 레벨 42 달성; 자동 지급; 이전 레벨 소급 없음
260,AccountLevel,43,1,Currency,Gold,30,계정 레벨 43 달성; 자동 지급; 이전 레벨 소급 없음
261,AccountLevel,44,1,Currency,Gold,30,계정 레벨 44 달성; 자동 지급; 이전 레벨 소급 없음
262,AccountLevel,45,1,Currency,Gold,30,계정 레벨 45 달성; 자동 지급; 이전 레벨 소급 없음
263,AccountLevel,46,1,Currency,Gold,30,계정 레벨 46 달성; 자동 지급; 이전 레벨 소급 없음
264,AccountLevel,47,1,Currency,Gold,30,계정 레벨 47 달성; 자동 지급; 이전 레벨 소급 없음
265,AccountLevel,48,1,Currency,Gold,30,계정 레벨 48 달성; 자동 지급; 이전 레벨 소급 없음
266,AccountLevel,49,1,Currency,Gold,30,계정 레벨 49 달성; 자동 지급; 이전 레벨 소급 없음
267,AccountLevel,50,1,Currency,Gold,30,계정 레벨 50 달성; 자동 지급; 이전 레벨 소급 없음
