카드 고유 번호(부여 후 변경 금지),에셋 이름(매칭 키),화면 표시 이름,Live=실행 노출 / TestOnly=테스트만,기본 체력(=공격력),키워드(여러 개는 / 로 구분),키워드 열리는 강화 레벨(0=처음부터),SynergyData 에셋 이름(여러 개는 / 로 구분),시작 진화 단계(0=미진화),Lv2 진입 시 증가 HP,Lv3 진입 시 증가 HP,Lv4 진입 시 증가 HP,도감 설명문,카드 등급(Common/Rare/Arcane/Mythic),시네마 공격 연출(Default/EnergyOrbDash),공격 이펙트 주소(비우면 없음)
9,Data_Card_MushroomCat,버섯냥,Live,4,Ranged,2,Data_Synergy_Trace,0,4,4,4,등의 버섯으로 만능 약을 만든다는 고양이. 효과는 확실하지만 설명서를 읽으면 조금 불안해진다.,Common,Default,Effect_Attack_MushroomCat
10,Data_Card_Dreameater,꿈먹이,Live,5,Execution,2,Data_Synergy_Trace,0,4,3,7,나쁜 꿈과 스트레스를 먹어주는 다정한 맥. 너무 많이 먹은 날에는 본인이 월요일 출근 꿈을 꾼다.,Rare,Default,
11,Data_Card_Woodhorn,우드혼,Live,5,,0,Data_Synergy_Legacy,0,5,3,4,나무뿔로 숲을 돌보고 식물을 키우는 작은 사슴. 가지치기를 부탁하면 자신의 뿔부터 걱정한다.,Rare,Default,
12,Data_Card_CaptainBeak,대장부리,Live,5,Peerless,2,Data_Synergy_Legacy,0,4,3,7,부리 하나로 최고의 무기를 만드는 딱따구리 대장장이. 새벽에도 두드려서 마을의 천적은 알람이 아니라 대장부리다.,Arcane,Default,
13,Data_Card_Swampfrog,늪꾸리,Live,4,Execution,2,Data_Synergy_Predator,0,4,4,4,진흙을 뿌려 적의 발을 묶는 개구리. 전투가 끝나면 가장 먼저 미끄러지는 것도 대개 본인이다.,Common,Default,
14,Data_Card_DizzyOctopus,해롱문어,Live,5,Peerless,2,Data_Synergy_Predator,0,3,4,5,빙글빙글한 눈으로 적을 홀리는 문어 조수. 본인도 가끔 최면에 걸려 같은 부품을 여덟 개 만든다.,Rare,Default,
15,Data_Card_WaterdropLong,물방울룽,Live,2,Cunning,2,Data_Synergy_Flow,0,6,4,3,불만 보면 몸부터 출동하는 젤리 수달. 불은 잘 끄지만 현장은 늘 물바다가 된다.,Common,Default,
16,Data_Card_BalloonPeng,풍선펭,Live,2,Cunning,2,Data_Synergy_Flow,0,6,4,3,"배를 빵빵하게 부풀려 하늘을 난다. 착륙 지점은 바람과 운명, 그리고 간식의 위치가 결정한다.",Common,Default,
17,Data_Card_Waggledodo,와글도도,Live,1,Ranged,2,Data_Synergy_Brand,0,6,5,3,혼자서는 겁이 많지만 모이면 세상 무서울 게 없는 도도새들. 문제는 도망갈 때도 단체 행동이 너무 완벽하다.,Common,Default,Effect_Attack_Waggledodo
18,Data_Card_Sandmong,모래몽,Live,2,Ranged,2,Data_Synergy_Brand,0,6,4,3,위험하면 몸을 모래로 흩어 감쪽같이 사라진다. 다시 모일 때마다 모래 한 줌씩 부족한 게 고민이다.,Common,Default,Effect_Attack_Sandmong
19,Data_Card_Icekomi,얼음꼬미,Live,3,Execution,2,Data_Synergy_Brand,0,5,4,4,무더운 날 모두가 찾는 이동식 냉장고. 포옹은 시원하지만 3초 이상이면 털이 얼어붙는다.,Common,Default,
20,Data_Card_Honeybee,꿀꿀비,Live,3,,0,Data_Synergy_Brand,0,5,4,4,꽃가루와 씨앗을 모으는 욕심쟁이 수집가. 예쁜 꽃을 보면 돌진부터 해서 화단이 남아나지 않는다.,Common,Default,
21,Data_Card_MagnetCrab,자석게,Live,6,Taunt,2,Data_Synergy_Scale,0,3,5,5,자석 집게로 잃어버린 장비를 척척 찾아낸다. 가끔 동료의 갑옷까지 통째로 회수한다.,Arcane,Default,
22,Data_Card_Gearmole,톱니두더,Live,5,Taunt,2,Data_Synergy_Scale,0,4,4,5,땅속 광맥은 귀신같이 찾는다. 다만 신나서 파다 보면 종종 옆 마을 지하실로 나온다.,Rare,Default,
23,Data_Card_SnowballBear,눈덩곰,Live,6,Taunt,2,Data_Synergy_Bulk,0,3,5,5,눈덩이를 굴릴수록 신이 나는 눈덩곰. 적보다 먼저 동료들이 눈사람이 되는 날도 있다.,Rare,Default,
24,Data_Card_Flarelux,화르룩스,Live,8,Taunt,2,Data_Synergy_Bulk,0,3,4,5,작은 갈기에서 큰 불꽃이 솟는 열혈 사자. 요리할 때마다 ‘약불’의 의미를 다시 배운다.,Rare,Default,
25,Data_Card_Sparkfin,찌릿핀,Live,5,Execution,2,Data_Synergy_Flow,0,4,4,4,충전만 부탁 받았는데 마을 전체를 정전시킨 전력이 있다. 본인은 ‘출력이 조금 셌을 뿐’이라고 주장한다.,Rare,Default,
26,Data_Card_Thunderhorn,번개뿔,Live,6,,0,Data_Synergy_Flow,0,5,4,3,번개뿔로 전기를 모으는 돌격대장. 생각보다 몸이 먼저 나가서 작전명은 늘 ‘일단 돌진’이다.,Rare,Default,
27,Data_Card_Campbean,모닥콩,Live,6,,0,,0,5,4,3,등의 화로로 모두의 저녁을 책임진다. 문제는 본인이 먼저 군고구마 냄새에 넘어간다는 것.,Rare,Default,
28,Data_Card_Mapletail,단풍꼬리,Live,5,,0,,0,5,4,3,꼬리에 씨를 싣고 숲을 누비는 다람쥐. 벌목은 능숙하지만 낙엽철에는 꼬리 관리로 야근을 한다.,Rare,Default,
29,Data_Card_Crystahorn,수정뿔루,Live,2,,0,,0,5,5,3,수정 뿔로 보석을 찾고 보호막을 펼치는 산양. 빛나는 돌만 보면 임무를 잊고 얼마인지 감정부터 시작한다.,Common,Default,
30,Data_Card_Bombbat,폭탄밤,Live,4,,0,,0,5,4,3,열매처럼 얌전히 매달려 자는 박쥐. 누가 깨우면 광산 하나가 사라질 만큼 요란하게 화낸다.,Common,Default,
31,Data_Card_CrystalRhino,크리스탈혼,Live,5,Execution,2,Data_Synergy_Scale,0,5,4,4,강력하고 아름다운 뿔을 지녔다. 반짝이는 건 좋아하지만 닦이는 건 싫어한다.,Arcane,Default,
32,Data_Card_Startail,별꼬리,Live,3,Cunning,2,Data_Synergy_Caretaker,0,4,4,5,긴 꼬리 끝에 별이 떠다니며 항상 분주하다. 멈추는 법을 배우는 중이다. 아직 성공한 적은 없다.,Arcane,Default,
33,Data_Card_Lumielk,루미엘크,Live,3,Healer,2,Data_Synergy_Legacy,0,3,5,5,강력한 힐링 기술을 지녔다. 머리에 정원을 키우고 있지만 물은 주지 않는다.,Rare,Default,
34,Data_Card_Magmole,마그몰,Live,5,Taunt,0,Data_Synergy_Bulk,0,6,4,3,화를 참는 편이다. 문제는 참으면 화산이 생긴다. 그리고 화산이 생기면 폭발한다.,Rare,Default,
35,Data_Card_Moonbite,문바이트,Live,4,Peerless,2,Data_Synergy_Predator,0,5,4,4,엄청난 식욕으로 모든것을 먹는다. 그러니 달이 매일 모양이 달라지는 이유에 대해 묻지 말자.,Common,Default,
36,Data_Card_Ticktockgon,틱톡곤,Live,3,Immortal,2,Data_Synergy_Flow,0,4,4,4,몸속에 거대한 태엽이 돌아가는 용. 시간 약속은 잘 지킨다. 가끔 너무 일찍 와서 심심해한다.,Arcane,Default,
37,Data_Card_Magnetos,마그네토스,Live,4,Peerless,2,Data_Synergy_Scale,0,5,4,3,"강력한 자석 뿔로 친해지고 싶으면 끌어당기고, 싫으면 아주 멀리 보낸다.",Rare,Default,
38,Data_Card_Crackmon,크랙몬,Live,5,Execution,2,Data_Synergy_Bulk,0,6,4,3,현실의 틈에서 튀어나온 정체불명의 네발 생물. 문을 사용하지 않아 노크를 모른다.,Arcane,Default,
39,Data_Card_Raigor,라이고르,Live,6,Peerless,2,Data_Synergy_Predator|Data_Synergy_Brand,0,4,4,6,"아주 오래전 하늘이 처음 천둥을 울렸을 때 태어났다고 전해지는 신수. 평소에는 느긋하게 구름 위에서 낮잠을 자지만, 화가 나면 주변 하늘이 통째로 검게 변한다.",Mythic,Default,
40,Data_Card_Phoenixia,피닉시아,Live,6,Immortal,2,Data_Synergy_Legacy|Data_Synergy_Trace,0,3,5,6,죽음과 재생을 상징하는 전설의 신수지만 생각보다 성격은 꽤 수다스럽다. 오래된 숲이 불타거나 새로운 생명이 태어나는 순간 나타나 꽃잎처럼 빛을 흩뿌린다.,Mythic,Default,
