행 고유 번호(부여 후 변경 금지),CardPack.packId 참조,이 등급 이상에서 이 묶음 사용(가장 높은 만족 등급 하나만 적용),Card.id 참조,추첨 가중치(같은 packId+minGrade 안에서 정규화),참고용 카드 이름(데이터 아님)
1182,SpecialPack,Silver,3,546,별토리
1183,SpecialPack,Silver,4,546,솜구름몽
1184,SpecialPack,Silver,9,546,버섯냥
1185,SpecialPack,Silver,13,545,늪꾸리
1186,SpecialPack,Silver,17,545,와글도도
1187,SpecialPack,Silver,18,545,모래몽
1188,SpecialPack,Silver,19,545,얼음꼬미
1189,SpecialPack,Silver,29,545,수정뿔루
1190,SpecialPack,Silver,30,545,폭탄밤
1191,SpecialPack,Silver,5,800,철갑몽치
1192,SpecialPack,Silver,6,800,바위콩
1193,SpecialPack,Silver,8,800,깜밤이
1194,SpecialPack,Silver,10,800,꿈먹이
1195,SpecialPack,Silver,14,800,해롱문어
1196,SpecialPack,Gold,1,462,포슬램
1197,SpecialPack,Gold,2,462,파도리
1198,SpecialPack,Gold,3,462,별토리
1199,SpecialPack,Gold,4,462,솜구름몽
1200,SpecialPack,Gold,9,462,버섯냥
1201,SpecialPack,Gold,13,462,늪꾸리
1202,SpecialPack,Gold,15,462,물방울룽
1203,SpecialPack,Gold,16,461,풍선펭
1204,SpecialPack,Gold,17,461,와글도도
1205,SpecialPack,Gold,18,461,모래몽
1206,SpecialPack,Gold,19,461,얼음꼬미
1207,SpecialPack,Gold,29,461,수정뿔루
1208,SpecialPack,Gold,30,461,폭탄밤
1209,SpecialPack,Gold,5,445,철갑몽치
1210,SpecialPack,Gold,6,445,바위콩
1211,SpecialPack,Gold,8,445,깜밤이
1212,SpecialPack,Gold,10,445,꿈먹이
1213,SpecialPack,Gold,11,444,우드혼
1214,SpecialPack,Gold,12,444,대장부리
1215,SpecialPack,Gold,14,444,해롱문어
1216,SpecialPack,Gold,22,444,톱니두더
1217,SpecialPack,Gold,25,444,찌릿핀
1218,SpecialPack,Platinum,1,375,포슬램
1219,SpecialPack,Platinum,2,375,파도리
1220,SpecialPack,Platinum,3,375,별토리
1221,SpecialPack,Platinum,4,375,솜구름몽
1222,SpecialPack,Platinum,9,375,버섯냥
1223,SpecialPack,Platinum,13,375,늪꾸리
1224,SpecialPack,Platinum,15,375,물방울룽
1225,SpecialPack,Platinum,16,375,풍선펭
1226,SpecialPack,Platinum,17,375,와글도도
1227,SpecialPack,Platinum,18,375,모래몽
1228,SpecialPack,Platinum,19,375,얼음꼬미
1229,SpecialPack,Platinum,20,375,꿀꿀비
1230,SpecialPack,Platinum,29,375,수정뿔루
1231,SpecialPack,Platinum,30,375,폭탄밤
1232,SpecialPack,Platinum,32,375,별꼬리
1233,SpecialPack,Platinum,33,375,루미엘크
1234,SpecialPack,Platinum,5,364,철갑몽치
1235,SpecialPack,Platinum,6,364,바위콩
1236,SpecialPack,Platinum,8,364,깜밤이
1237,SpecialPack,Platinum,10,364,꿈먹이
1238,SpecialPack,Platinum,11,364,우드혼
1239,SpecialPack,Platinum,12,364,대장부리
1240,SpecialPack,Platinum,14,364,해롱문어
1241,SpecialPack,Platinum,22,363,톱니두더
1242,SpecialPack,Platinum,25,363,찌릿핀
1243,SpecialPack,Platinum,28,363,단풍꼬리
1244,SpecialPack,Platinum,31,363,수정코뿔소
1245,SpecialPack,Diamond,1,316,포슬램
1246,SpecialPack,Diamond,2,316,파도리
1247,SpecialPack,Diamond,3,316,별토리
1248,SpecialPack,Diamond,4,316,솜구름몽
1249,SpecialPack,Diamond,9,316,버섯냥
1250,SpecialPack,Diamond,13,316,늪꾸리
1251,SpecialPack,Diamond,15,316,물방울룽
1252,SpecialPack,Diamond,16,316,풍선펭
1253,SpecialPack,Diamond,17,316,와글도도
1254,SpecialPack,Diamond,18,316,모래몽
1255,SpecialPack,Diamond,19,316,얼음꼬미
1256,SpecialPack,Diamond,20,316,꿀꿀비
1257,SpecialPack,Diamond,29,316,수정뿔루
1258,SpecialPack,Diamond,30,316,폭탄밤
1259,SpecialPack,Diamond,32,316,별꼬리
1260,SpecialPack,Diamond,33,315,루미엘크
1261,SpecialPack,Diamond,35,315,문바이트
1262,SpecialPack,Diamond,36,315,틱톡곤
1263,SpecialPack,Diamond,37,315,마그네토스
1264,SpecialPack,Diamond,5,308,철갑몽치
1265,SpecialPack,Diamond,6,308,바위콩
1266,SpecialPack,Diamond,8,308,깜밤이
1267,SpecialPack,Diamond,10,308,꿈먹이
1268,SpecialPack,Diamond,11,308,우드혼
1269,SpecialPack,Diamond,12,308,대장부리
1270,SpecialPack,Diamond,14,308,해롱문어
1271,SpecialPack,Diamond,22,308,톱니두더
1272,SpecialPack,Diamond,25,308,찌릿핀
1273,SpecialPack,Diamond,28,307,단풍꼬리
1274,SpecialPack,Diamond,31,307,수정코뿔소
1275,SpecialPack,Diamond,34,307,마그몰
1276,SpecialPack,Diamond,38,307,크랙몬
1277,HuntingBrandPack,Bronze,13,11,늪꾸리
1278,HuntingBrandPack,Bronze,14,30,해롱문어
1279,HuntingBrandPack,Bronze,17,11,와글도도
1280,HuntingBrandPack,Bronze,18,11,모래몽
1281,HuntingBrandPack,Bronze,19,11,얼음꼬미
1282,HuntingBrandPack,Bronze,20,10,꿀꿀비
1283,HuntingBrandPack,Bronze,35,10,문바이트
1284,HuntingBrandPack,Bronze,39,6,라이고르
1285,ImmortalLegacyPack,Bronze,8,6,깜밤이
1286,ImmortalLegacyPack,Bronze,9,32,버섯냥
1287,ImmortalLegacyPack,Bronze,10,6,꿈먹이
1288,ImmortalLegacyPack,Bronze,11,6,우드혼
1289,ImmortalLegacyPack,Bronze,12,6,대장부리
1290,ImmortalLegacyPack,Bronze,28,6,단풍꼬리
1291,ImmortalLegacyPack,Bronze,33,32,루미엘크
1292,ImmortalLegacyPack,Bronze,40,6,피닉시아
1293,IronArmorPack,Bronze,5,8,철갑몽치
1294,IronArmorPack,Bronze,6,8,바위콩
1295,IronArmorPack,Bronze,7,3,왕밤도치
1296,IronArmorPack,Bronze,21,3,자석게
1297,IronArmorPack,Bronze,22,7,톱니두더
1298,IronArmorPack,Bronze,29,32,수정뿔루
1299,IronArmorPack,Bronze,31,7,수정코뿔소
1300,IronArmorPack,Bronze,37,32,마그네토스
1301,GiantsGardenPack,Bronze,1,13,포슬램
1302,GiantsGardenPack,Bronze,2,13,파도리
1303,GiantsGardenPack,Bronze,3,13,별토리
1304,GiantsGardenPack,Bronze,4,13,솜구름몽
1305,GiantsGardenPack,Bronze,23,3,눈덩곰
1306,GiantsGardenPack,Bronze,24,3,화르룩스
1307,GiantsGardenPack,Bronze,32,12,별꼬리
1308,GiantsGardenPack,Bronze,34,15,마그몰
1309,GiantsGardenPack,Bronze,38,15,크랙몬
1310,ElementalFlowPack,Bronze,15,16,물방울룽
1311,ElementalFlowPack,Bronze,16,16,풍선펭
1312,ElementalFlowPack,Bronze,25,30,찌릿핀
1313,ElementalFlowPack,Bronze,26,3,번개뿔
1314,ElementalFlowPack,Bronze,27,3,모닥콩
1315,ElementalFlowPack,Bronze,30,16,폭탄밤
1316,ElementalFlowPack,Bronze,36,16,틱톡곤
