행 고유 번호 변경 금지,업적 단계 안정 키 변경 금지,동일 누적 진행도를 공유하는 그룹,그룹 안 단계 순서 1부터,집계 이벤트,PlaySynergy 전용 SynergyDef.synergyId,누적 목표,표시 제목,표시 설명,그룹 표시 순서,1 활성 0 비활성
42,synergy.Scale.2,synergy.Scale,2,PlaySynergy,Scale,10,비늘의 동료,시작 덱에서 비늘 시너지를 활성화하고 전투를 누적 10회 완료하세요,36,1
43,synergy.Scale.3,synergy.Scale,3,PlaySynergy,Scale,30,비늘의 동료,시작 덱에서 비늘 시너지를 활성화하고 전투를 누적 30회 완료하세요,36,1
44,synergy.Scale.4,synergy.Scale,4,PlaySynergy,Scale,100,비늘의 동료,시작 덱에서 비늘 시너지를 활성화하고 전투를 누적 100회 완료하세요,36,1
45,synergy.Scale.5,synergy.Scale,5,PlaySynergy,Scale,300,비늘의 동료,시작 덱에서 비늘 시너지를 활성화하고 전투를 누적 300회 완료하세요,36,1
46,synergy.Trace.1,synergy.Trace,1,PlaySynergy,Trace,1,추적의 동료,시작 덱에서 추적 시너지를 활성화하고 전투를 누적 1회 완료하세요,37,1
47,synergy.Trace.2,synergy.Trace,2,PlaySynergy,Trace,10,추적의 동료,시작 덱에서 추적 시너지를 활성화하고 전투를 누적 10회 완료하세요,37,1
48,synergy.Trace.3,synergy.Trace,3,PlaySynergy,Trace,30,추적의 동료,시작 덱에서 추적 시너지를 활성화하고 전투를 누적 30회 완료하세요,37,1
49,synergy.Trace.4,synergy.Trace,4,PlaySynergy,Trace,100,추적의 동료,시작 덱에서 추적 시너지를 활성화하고 전투를 누적 100회 완료하세요,37,1
50,synergy.Trace.5,synergy.Trace,5,PlaySynergy,Trace,300,추적의 동료,시작 덱에서 추적 시너지를 활성화하고 전투를 누적 300회 완료하세요,37,1
51,album.1,album,1,CompleteAlbum,,1,앨범 수집가,앨범 테마 1개를 완성하세요,40,1
52,streak.1,streak,1,WinStreak,,2,멈추지 않는 승리,최고 2연승을 달성하세요,50,1
53,streak.2,streak,2,WinStreak,,3,멈추지 않는 승리,최고 3연승을 달성하세요,50,1
54,streak.3,streak,3,WinStreak,,5,멈추지 않는 승리,최고 5연승을 달성하세요,50,1
55,streak.4,streak,4,WinStreak,,7,멈추지 않는 승리,최고 7연승을 달성하세요,50,1
56,streak.5,streak,5,WinStreak,,10,멈추지 않는 승리,최고 10연승을 달성하세요,50,1
57,pack.1,pack,1,OpenPack,,1,팩 탐험가,카드 팩을 누적 1개 개봉하세요,60,1
58,pack.2,pack,2,OpenPack,,10,팩 탐험가,카드 팩을 누적 10개 개봉하세요,60,1
59,pack.3,pack,3,OpenPack,,30,팩 탐험가,카드 팩을 누적 30개 개봉하세요,60,1
60,pack.4,pack,4,OpenPack,,100,팩 탐험가,카드 팩을 누적 100개 개봉하세요,60,1
61,pack.5,pack,5,OpenPack,,300,팩 탐험가,카드 팩을 누적 300개 개봉하세요,60,1
